course_index	type_id
0	20
1	20
2	13
3	10
4	10
5	1
6	9
7	13
8	9
9	18
10	7
11	3
12	17
13	7
14	7
15	16
16	16
17	7
18	7
19	7
20	15
21	15
22	7
23	7
24	7
25	7
26	7
27	7
28	2
29	2
30	7
31	19
32	18
33	10
34	2
35	15
36	2
37	3
38	2
39	14
40	2
41	7
42	7
43	3
44	10
45	23
46	7
47	7
48	3
49	7
50	17
51	7
52	7
53	7
54	7
55	7
56	9
57	1
58	13
59	10
60	13
61	13
62	3
63	2
64	3
65	2
66	2
67	7
68	13
69	17
70	15
71	7
72	15
73	15
74	15
75	9
76	10
77	19
78	10
79	13
80	13
81	10
82	13
83	13
84	20
85	10
86	3
87	5
88	5
89	3
90	19
91	9
92	23
93	9
94	19
95	13
96	9
97	7
98	7
99	3
100	10
101	10
102	7
103	17
104	13
105	13
106	11
107	1
108	16
109	2
110	3
111	3
112	2
113	21
114	3
115	7
116	13
117	14
118	16
119	3
120	3
121	15
122	2
123	2
124	2
125	15
126	20
127	10
128	7
129	15
130	7
131	7
132	7
133	10
134	13
135	11
136	7
137	7
138	23
139	4
140	17
141	23
142	23
143	23
144	7
145	23
146	13
147	13
148	7
149	18
150	11
151	1
152	16
153	10
154	10
155	10
156	10
157	10
158	13
159	20
160	16
161	9
162	3
163	6
164	6
165	2
166	3
167	7
168	7
169	7
170	11
171	7
172	16
173	3
174	7
175	7
176	15
177	2
178	7
179	13
180	19
181	16
182	17
183	21
184	17
185	15
186	3
187	13
188	22
189	10
190	10
191	3
192	3
193	11
194	10
195	20
196	10
197	17
198	20
199	11
200	3
201	20
202	20
203	3
204	9
205	21
206	18
207	3
208	2
209	2
210	2
211	2
212	2
213	2
214	13
215	20
216	6
217	3
218	20
219	20
220	11
221	11
222	13
223	10
224	4
225	10
226	10
227	13
228	9
229	18
230	13
231	13
232	7
233	7
234	1
235	18
236	21
237	15
238	1
239	19
240	7
241	7
242	17
243	3
244	16
245	16
246	20
247	16
248	16
249	16
250	17
251	16
252	16
253	10
254	13
255	17
256	3
257	17
258	18
259	3
260	13
261	19
262	4
263	3
264	3
265	20
266	3
267	7
268	7
269	13
270	2
271	7
272	6
273	13
274	19
275	3
276	21
277	10
278	16
279	17
280	23
281	9
282	7
283	21
284	11
285	21
286	20
287	10
288	20
289	20
290	7
291	13
292	7
293	7
294	11
295	9
296	10
297	10
298	16
299	8
300	3
301	17
302	5
303	7
304	3
305	2
306	3
307	1
308	13
309	3
310	20
311	11
312	3
313	3
314	7
315	9
316	23
317	19
318	23
319	20
320	22
321	17
322	20
323	23
324	20
325	10
326	3
327	3
328	18
329	7
330	5
331	5
332	3
333	10
334	20
335	3
336	20
337	1
338	9
339	6
340	20
341	17
342	7
343	3
344	13
345	23
346	3
347	7
348	19
349	7
350	13
351	16
352	17
353	2
354	9
355	7
356	9
357	18
358	13
359	5
360	11
361	9
362	4
363	4
364	11
365	13
366	19
367	13
368	23
369	20
370	13
371	21
372	6
373	19
374	19
375	17
376	23
377	2
378	17
379	15
380	3
381	3
382	7
383	6
384	7
385	19
386	3
387	13
388	14
389	9
390	11
391	19
392	9
393	17
394	9
395	17
396	23
397	23
398	19
399	23
400	23
401	23
402	23
403	19
404	20
405	21
406	9
407	9
408	3
409	3
410	3
411	9
412	6
413	18
414	10
415	20
416	20
417	11
418	11
419	11
420	20
421	11
422	11
423	11
424	19
425	7
426	10
427	3
428	5
429	18
430	17
431	3
432	20
433	20
434	21
435	21
436	13
437	19
438	3
439	21
440	7
441	17
442	13
443	16
444	7
445	3
446	2
447	10
448	10
449	3
450	20
451	3
452	23
453	19
454	13
455	1
456	20
457	3
458	13
459	13
460	14
461	13
462	19
463	19
464	13
465	23
466	14
467	13
468	3
469	10
470	3
471	21
472	3
473	19
474	18
475	1
476	3
477	20
478	19
479	13
480	20
481	23
482	13
483	3
484	19
485	3
486	9
487	7
488	13
489	3
490	2
491	15
492	7
493	20
494	20
495	10
496	13
497	20
498	20
499	3
500	7
501	20
502	13
503	13
504	13
505	13
506	13
507	19
508	13
509	10
510	14
511	6
512	3
513	18
514	18
515	1
516	3
517	23
518	10
519	13
520	15
521	10
522	4
523	7
524	13
525	15
526	16
527	4
528	2
529	3
530	3
531	3
532	8
533	7
534	7
535	9
536	5
537	9
538	2
539	18
540	19
541	7
542	11
543	11
544	10
545	20
546	4
547	4
548	15
549	10
550	18
551	16
552	7
553	7
554	16
555	19
556	18
557	7
558	9
559	13
560	13
561	13
562	10
563	7
564	11
565	10
566	13
567	12
568	4
569	21
570	7
571	13
572	14
573	16
574	13
575	7
576	3
577	11
578	10
579	23
580	10
581	11
582	18
583	4
584	13
585	20
586	13
587	14
588	1
589	10
590	7
591	7
592	1
593	20
594	23
595	13
596	9
597	14
598	17
599	21
600	4
601	20
602	13
603	13
604	9
605	9
606	1
607	20
608	8
609	20
610	4
611	3
612	7
613	13
614	20
615	13
616	15
617	20
618	7
619	14
620	5
621	10
622	10
623	17
624	7
625	13
626	13
627	18
628	16
629	10
630	1
631	10
632	17
633	17
634	9
635	2
636	2
637	7
638	7
639	13
640	2
641	1
642	8
643	7
644	3
645	6
646	7
647	10
648	19
649	16
650	7
651	15
652	18
653	23
654	19
655	14
656	10
657	23
658	14
659	9
660	14
661	5
662	7
663	9
664	5
665	3
666	3
667	13
668	14
669	7
670	19
671	15
672	18
673	7
674	20
675	8
676	10
677	2
678	7
679	10
680	1
681	21
682	14
683	7
684	4
685	6
686	17
687	13
688	13
689	20
690	20
691	13
692	13
693	19
694	7
695	17
696	14
697	15
698	23
699	13
700	13
701	4
702	13
703	13
704	13
705	23
706	21
707	23
708	3
709	17
710	3
711	6
712	6
713	9
714	9
715	10
716	10
717	10
718	16
719	19
720	9
721	2
722	13
723	19
724	20
725	1
726	4
727	3
728	16
729	11
730	9
731	4
732	19
733	1
734	18
735	23
736	9
737	18
738	18
739	14
740	13
741	8
742	3
743	17
744	21
745	7
746	16
747	10
748	9
749	19
750	19
751	16
752	13
753	18
754	1
755	19
756	19
757	16
758	1
759	8
760	7
761	7
762	7
763	7
764	7
765	3
766	7
767	18
768	3
769	4
770	13
771	7
772	15
773	9
774	19
775	4
776	9
777	9
778	16
779	9
780	23
781	16
782	14
783	15
784	7
785	19
786	10
787	9
788	1
789	20
790	1
791	17
792	4
793	19
794	8
795	20
796	13
797	20
798	7
799	1
800	16
801	16
802	14
803	21
804	1
805	13
806	14
807	16
808	4
809	19
810	9
811	10
812	4
813	19
814	13
815	23
816	17
817	9
818	4
819	7
820	7
821	7
822	23
823	2
824	9
825	8
826	3
827	19
828	2
829	19
830	15
831	2
832	16
833	13
834	9
835	3
836	4
837	19
838	16
839	4
840	15
841	16
842	4
843	9
844	7
845	6
846	7
847	9
848	10
849	9
850	20
851	23
852	9
853	13
854	2
855	9
856	9
857	23
858	3
859	7
860	9
861	20
862	9
863	13
864	18
865	1
866	13
867	5
868	7
869	14
870	15
871	18
872	19
873	12
874	3
875	3
876	19
877	9
878	7
879	13
880	23
881	7
882	16
883	13
884	9
885	16
886	9
887	19
888	2
889	13
890	20
891	7
892	14
893	5
894	13
895	19
896	7
897	14
898	17
899	19
900	18
901	13
902	13
903	9
904	13
905	9
906	3
907	3
908	18
909	3
910	14
911	8
912	17
913	16
914	16
915	10
916	8
917	3
918	15
919	7
920	16
921	5
922	4
923	1
924	10
925	4
926	1
927	4
928	1
929	9
930	1
931	13
932	7
933	7
934	4
935	18
936	9
937	5
938	9
939	7
940	5
941	19
942	19
943	19
944	14
945	13
946	19
947	19
948	19
949	19
950	4
951	20
952	15
953	16
954	15
955	14
956	23
957	10
958	16
959	20
960	13
961	20
962	23
963	23
964	7
965	19
966	9
967	10
968	10
969	4
970	23
971	4
972	12
973	20
974	20
975	20
976	19
977	13
978	20
979	6
980	7
981	12
982	13
983	4
984	4
985	13
986	10
987	13
988	4
989	10
990	7
991	9
992	7
993	17
994	15
995	9
996	16
997	13
998	18
999	12
1000	5
1001	19
1002	12
1003	12
1004	12
1005	9
1006	12
1007	12
1008	20
1009	3
1010	8
1011	16
1012	3
1013	12
1014	3
1015	10
1016	12
1017	3
1018	3
1019	3
1020	3
1021	18
1022	10
1023	3
1024	10
1025	23
1026	20
1027	23
1028	20
1029	4
1030	13
1031	12
1032	13
1033	12
1034	9
1035	4
1036	7
1037	15
1038	19
1039	1
1040	7
1041	14
1042	20
1043	13
1044	13
1045	13
1046	16
1047	4
1048	3
1049	5
1050	14
1051	7
1052	8
1053	10
1054	14
1055	9
1056	7
1057	3
1058	12
1059	4
1060	12
1061	7
1062	7
1063	13
1064	18
1065	7
1066	13
1067	16
1068	9
1069	3
1070	9
1071	1
1072	18
1073	7
1074	16
1075	5
1076	5
1077	9
1078	9
1079	7
1080	13
1081	9
1082	1
1083	13
1084	9
1085	3
1086	9
1087	9
1088	9
1089	4
1090	7
1091	13
1092	18
1093	3
1094	1
1095	10
1096	4
1097	13
1098	4
1099	10
1100	13
1101	16
1102	13
1103	2
1104	13
1105	7
1106	9
1107	9
1108	20
1109	16
1110	23
1111	23
1112	2
1113	19
1114	18
1115	9
1116	2
1117	20
1118	18
1119	23
1120	16
1121	9
1122	20
1123	19
1124	12
1125	3
1126	16
1127	15
1128	23
1129	9
1130	21
1131	16
1132	9
1133	13
1134	9
1135	4
1136	17
1137	13
1138	13
1139	12
1140	5
1141	3
1142	19
1143	13
1144	3
1145	3
1146	3
1147	3
1148	3
1149	7
1150	3
1151	3
1152	8
1153	19
1154	23
1155	3
1156	23
1157	23
1158	23
1159	23
1160	23
1161	23
1162	15
1163	23
1164	23
1165	23
1166	23
1167	23
1168	23
1169	23
1170	9
1171	23
1172	23
1173	23
1174	23
1175	23
1176	23
1177	9
1178	23
1179	23
1180	12
1181	9
1182	21
1183	19
1184	9
1185	4
1186	23
1187	23
1188	23
1189	12
1190	23
1191	9
1192	23
1193	23
1194	23
1195	23
1196	23
1197	23
1198	17
1199	16
1200	18
1201	18
1202	23
1203	19
1204	13
1205	23
1206	9
1207	5
1208	1
1209	1
1210	9
1211	21
1212	9
1213	5
1214	4
1215	23
1216	20
1217	1
1218	23
1219	13
1220	19
1221	23
1222	9
1223	23
1224	23
1225	23
1226	20
1227	23
1228	8
1229	23
1230	23
1231	23
1232	23
1233	23
1234	9
1235	23
1236	23
1237	23
1238	23
1239	23
1240	23
1241	8
1242	19
1243	19
1244	13
1245	19
1246	23
1247	23
1248	17
1249	23
1250	13
1251	23
1252	23
1253	16
1254	9
1255	23
1256	23
1257	23
1258	23
1259	23
1260	13
1261	13
1262	23
1263	13
1264	16
1265	16
1266	13
1267	17
1268	9
1269	23
1270	23
1271	23
1272	23
1273	23
1274	23
1275	23
1276	18
1277	23
1278	23
1279	23
1280	23
1281	23
1282	21
1283	21
1284	1
1285	17
1286	23
1287	12
1288	7
1289	18
1290	5
1291	15
1292	15
1293	3
1294	13
1295	13
1296	17
1297	16
1298	17
1299	7
1300	19
1301	1
